G_A G_B K_A K_B TH_A_A TH_B_A TH_A_B N_A_A N_B_A N_A_B FC_A_A FC_B_A FC_A_B
22 62.642378482 57.3588375653 0.699065629934 0.89459180713 17.1921089428 4.60372563676 15.4000531269 1 3 2 98.4188182437 76.5972433946 45.1057998899
23 90.1896031794 10.158775065 0.126994966402 0.825836491909 16.4675289041 16.682060837 6.99913859258 2 3 3 63.2512125457 60.6702594936 43.155091023
24 64.4377863054 82.4567282228 0.699746275238 0.141589270305 15.8794391669 22.3828442592 6.57901810443 5 2 1 47.3479605317 33.9149811975 81.4983966398
25 78.1628755522 44.2335709472 0.198837680509 0.313532363124 12.7953537867 19.2877542497 11.2960042358 2 1 3 72.2427122377 68.2612427983 11.5933045444
26 77.2761734361 33.5099059918 0.769180229652 0.993812116465 0.899861978684 38.5233190703 2.76924780521 2 5 4 75.0977853051 19.6312993294 79.1910790392
27 67.585696607 97.5642526457 0.511986734577 0.944774476476 18.4100775656 15.3260438502 14.7197636673 5 3 2 40.7979975431 20.9723847667 29.2469322469
28 72.2022760393 15.8251749359 0.326342342004 0.542982515523 10.3509409875 40.1515311296 17.4745959513 5 2 4 89.9674764076 3.90092755485 85.1081697453
29 12.6309418249 6.31955315765 0.91279282204 0.985523451716 2.70321440551 6.5613500372 12.8531428053 3 3 2 30.3564723606 87.7904111713 9.69138940201
30 92.727227853 59.6001734422 0.271293232448 0.9986622419 7.180822022 22.0843707865 11.2770206368 1 5 2 20.3638528533 94.3244612367 12.8510912807
31 2.38503275442 77.6441597074 0.141309004426 0.467070999965 13.7491894284 28.8213819209 0.461373773789 2 5 5 65.4019088319 85.69360119 70.701611611
32 70.6829600305 24.7742566477 0.754912513732 0.51976382254 13.4546690749 50.8625346742 1.16907641104 5 2 1 5.72690515733 54.7147101018 40.9815009023
33 4.5777861362 69.3459946522 0.481505253473 0.395617037883 14.3215548837 3.43041725172 18.071039417 5 2 4 27.7633482819 88.8147230346 78.6004301687
34 85.4920075527 51.2931575923 0.688732033129 0.77559140398 16.2781349125 9.82758189348 6.74159785784 3 4 1 28.5931586934 47.9922895799 96.7618419409
35 67.3954339667 71.8026641096 0.229467868287 0.686255784556 10.5990286541 28.5192400886 18.3834225343 5 3 2 66.5249515935 49.6886835584 55.2666014298
36 44.8053744868 29.5671860123 0.166122395143 0.769436014275 4.85238101822 20.4689526588 18.4909877279 4 1 3 25.4308080509 46.0053132266 97.5144011868
37 98.1926180239 2.28984373476 0.817736783803 0.271471096124 13.2942691988 39.6482535462 3.9689893078 2 1 4 25.4364800455 83.6391553625 94.7850134729
38 27.8239094072 2.93774377281 0.553149174674 0.601991553894 16.5517877387 1.80897791783 10.5737487862 5 2 2 46.7934976319 39.5607180325 33.2441500491
39 41.1190530672 95.1652459863 0.621318299934 0.962483921674 5.47677197597 9.5918714035 1.58143355223 1 2 3 49.9401556595 50.3134935983 8.52518261436
40 53.0646522311 94.8851071766 0.712906069512 0.207067190811 6.83176156902 41.5173637684 15.8703649083 2 1 3 68.8851129177 82.4421159797 61.0315398224
41 1.02397912418 81.2803860564 0.719938918619 0.9726443412 7.41615193772 45.9757707039 18.0871614515 4 1 2 12.7774269385 50.2765696455 29.5221400506
42 51.9236550244 72.4855178868 0.48146224727 0.817732519049 17.8346828152 16.7199305325 2.92803464572 4 3 2 11.1337523172 69.3856046987 83.0576927409
43 15.9395379625 48.5286252755 0.669238867684 0.67372823126 9.2851639663 37.5549574039 14.3324427752 4 4 2 71.2379174244 71.4143344554 32.5797593407
44 59.4183350167 31.2918043634 0.805589682041 0.735402344488 11.6826241034 24.3334080987 16.223678024 3 1 2 75.0000169422 13.1500885494 26.0634130985
45 87.8428205729 80.0428648466 0.94398785926 0.64310405575 3.51368528668 5.14766951084 4.48395716235 4 4 1 29.4610484445 51.5938166911 1.52689982466
46 35.8447483219 86.7706977844 0.305497760801 0.201623531637 2.86999037132 40.3544830998 11.4890675885 1 4 3 72.3989093071 59.0179592297 20.3213004507
47 70.376046394 64.6017886221 0.479314478491 0.174734171864 18.0423454581 5.55359603241 15.2220942487 4 1 3 92.7691616785 78.5503405302 24.5610125115
48 21.2637807289 31.5359184111 0.22879370153 0.124196260151 17.9131166886 1.86231088073 12.9759501973 3 3 1 89.5383836648 4.19423386996 59.9186689868
49 99.8116262198 78.4881971847 0.489169182905 0.323665338007 15.579718343 43.4596738681 9.65501902616 4 2 4 8.95979807363 39.2131638577 24.5336055572
50 18.5205395291 5.09909785826 0.361753944503 0.142776415373 11.8501089351 7.23458628048 4.22826142674 5 4 1 96.6654731059 26.8051872296 33.50671917
