G_A G_B K_A K_B TH_B_A TH_A_B N_B_A N_A_B FC_B_A FC_A_B
31 13.0190513267 34.5957232827 0.449260798844 0.488804562582 43.197307459 4.30798428513 1 2 36.2787753089 69.3574899647
32 64.6318889769 70.1213032756 0.110157418698 0.322646838298 17.3703023401 53.3140102675 1 5 48.3467057669 20.2062992133
33 64.0488132234 92.8219548803 0.902274350933 0.929449345268 24.0561829124 50.1005957434 2 5 83.3681540187 94.1502250336
34 89.9701019201 90.6710100659 0.130032457545 0.539531958845 18.933010068 33.7453250271 5 2 84.3516827178 80.1552188112
35 10.2961936324 62.8192707833 0.915667823873 0.657627943029 43.8871909739 7.88013224159 1 5 42.9525980011 23.8002771111
36 54.1099455058 82.0079563496 0.53649004199 0.726099731874 18.7876305306 37.3278760066 1 3 72.26744686 28.8413001574
37 43.9500441778 55.2299496342 0.654268007003 0.57839845796 54.1364056897 30.4003120762 4 2 75.1025455503 7.69122741498
38 5.4384958205 42.8777721451 0.517169475389 0.277852947146 4.96503911377 27.2099125723 3 1 84.906313445 54.1371804786
39 25.6113530755 13.9570934911 0.686157953202 0.808122825807 46.9636771295 49.9692128302 2 3 95.0296432672 7.11354047927
40 72.3938243352 46.0204533761 0.894453691523 0.735905964217 11.3237617386 37.8717604198 5 2 35.11471106 94.4515718373
41 62.9320189729 99.2127300171 0.37511719851 0.915588325998 4.23258191033 21.838343755 4 3 28.3145424077 27.67744687
42 85.0940107608 45.2280764836 0.800626867956 0.188261096109 53.6721304195 11.1159623105 1 1 88.750159103 89.074773714
43 44.1476208982 63.1019685726 0.23117269516 0.349113996759 48.5629703708 12.5295643468 4 4 23.167262021 35.9577060308
44 57.9277020503 10.9633419252 0.580982678264 0.654415291105 49.2369916985 38.3238023099 5 1 52.305075393 71.5505650039
45 92.4856751851 33.7955441831 0.151519042573 0.738274201638 40.2162598741 12.4424499444 3 3 78.7334379234 44.5199180175
46 4.65126337878 64.9353325572 0.823824919071 0.366160824492 16.576471473 21.8761686212 5 4 28.6421167841 54.2897349217
47 80.671764642 75.9973265907 0.12802804588 0.652433779026 39.019557872 19.2416594455 4 2 14.4304037651 73.1633958668
48 59.8811106297 67.9421269457 0.441504717279 0.612525984302 47.8325721702 8.02844465815 4 4 20.2032415391 58.3797148712
49 1.68995756523 25.3918048158 0.608461351965 0.117654662524 32.692654776 5.07119096185 3 2 91.2335258647 5.81504446144
50 62.6266397992 69.9709212631 0.301820982412 0.594112166857 2.23426051847 4.79183487646 3 2 16.9812330708 21.1659273214
